	12500	12500	
(30, 5, 23, 30)	7	6	-1	
(7, 21, 12, 17)	1	0	-1	
(12, 30, 15, 15)	0	1	1	
(0, 27, 22, 21)	1	0	-1	
(18, 1, 30, 15)	0	1	1	
(4, 30, 4, 3)	1	1	0	
(24, 21, 17, 30)	2	2	0	
(7, 12, 30, 2)	1	0	-1	
(7, 30, 17, 12)	5	2	-3	
(16, 30, 17, 17)	1	0	-1	
(30, 3, 18, 7)	4	11	7	
(18, 30, 0, 19)	1	5	4	
(18, 18, 30, 2)	2	1	-1	
(17, 0, 4)	42	114	72	
(24, 30, 17, 5)	1	1	0	
(4, 30, 8, 30)	140	128	-12	
(16, 3, 12)	0	1	1	
(30, 13, 7, 30)	1	0	-1	
(8, 8, 23, 30)	0	1	1	
(21, 30, 18)	2135	2644	509	
(22, 30, 6, 26)	1	0	-1	
(13, 30, 11)	11	4	-7	
(0, 21, 30, 10)	12	2	-10	
(30, 8, 24, 17)	0	1	1	
(24, 21, 30, 0)	2	6	4	
(22, 12, 22)	1	0	-1	
(30, 9, 21, 18)	0	1	1	
(30, 3, 27, 7)	0	1	1	
(21, 1, 14)	1	0	-1	
(0, 2, 30, 23)	0	1	1	
(30, 26, 0)	1	1	0	
(4, 12, 30, 10)	2	0	-2	
(6, 28, 21, 30)	0	1	1	
(30, 26, 26, 21)	3	0	-3	
(6, 25, 30)	3	4	1	
(4, 7, 7, 1)	1	0	-1	
(18, 18, 1, 21)	2	0	-2	
(21, 3, 21, 30)	12	16	4	
(4, 17, 18, 1)	1	0	-1	
(25, 3, 21, 5)	1	0	-1	
(30, 4, 21, 14)	5	4	-1	
(17, 8, 30, 8)	11	6	-5	
(17, 30, 21, 22)	2	3	1	
(7, 11, 21, 30)	0	1	1	
(17, 1)	1063	137	-926	
(25, 17, 30, 25)	16	26	10	
(30, 3, 0, 23)	0	1	1	
(17, 8, 30)	67	47	-20	
(4, 12, 21, 0)	5	3	-2	
(4, 30, 26, 30)	11	31	20	
(22, 30, 21, 30)	359	466	107	
(19, 2, 30, 11)	0	2	2	
(30, 7, 30, 15)	18	17	-1	
(26, 30, 3)	291	282	-9	
(25, 27, 27)	0	1	1	
(27, 2, 30, 3)	0	1	1	
(19, 12, 30, 10)	0	1	1	
(17, 30, 18, 0)	43	100	57	
(7, 8, 21)	0	1	1	
(30, 18, 10)	124	12	-112	
(30, 8, 30, 16)	7	3	-4	
(17, 7, 3, 17)	1	0	-1	
(0, 1, 30, 21)	2	1	-1	
(7, 10, 30, 25)	0	2	2	
(17, 30, 14, 21)	0	2	2	
(8, 4, 12, 7)	1	0	-1	
(9, 30, 1, 21)	1	0	-1	
(30, 17, 12, 0)	4	2	-2	
(21, 3, 27, 30)	1	3	2	
(27, 21, 30, 25)	3	3	0	
(0, 6, 30, 18)	2	1	-1	
(17, 30, 27, 22)	1	3	2	
(22, 30, 15, 17)	0	2	2	
(1, 8, 30, 21)	3	1	-2	
(4, 30, 20, 30)	6	6	0	
(17, 18, 17, 30)	1	0	-1	
(22, 30, 27, 30)	20	38	18	
(12, 12, 30, 5)	0	1	1	
(30, 21, 27, 3)	0	1	1	
(12, 3, 21, 30)	16	17	1	
(7, 30, 21, 6)	0	2	2	
(30, 3, 22, 9)	1	0	-1	
(3, 3, 30)	23	43	20	
(19, 1, 4, 7)	0	1	1	
(26, 26, 21)	3	0	-3	
(27, 30, 0, 2)	1	10	9	
(30, 8, 8, 4)	15	13	-2	
(21, 27, 30, 5)	0	1	1	
(21, 30, 11)	473	493	20	
(30, 9, 21)	56	122	66	
(30, 17, 30, 20)	12	22	10	
(30, 9, 30, 10)	7	5	-2	
(17, 5, 30, 16)	0	1	1	
(21, 1, 17)	8	1	-7	
(30, 17, 18, 1)	22	5	-17	
(30, 26, 23)	0	1	1	
(4, 30, 7, 18)	1	1	0	
(22, 30, 9, 30)	3	19	16	
(4, 17, 30, 3)	57	46	-11	
(27, 7)	2	4	2	
(10, 30, 8, 8)	0	2	2	
(30, 4, 17, 0)	5	16	11	
(1, 7, 7, 21)	1	0	-1	
(4, 30, 12)	774	548	-226	
(12, 30, 17, 6)	0	2	2	
(30, 21, 25, 14)	0	1	1	
(4, 4, 21, 12)	1	0	-1	
(26, 30, 10)	7	12	5	
(17, 17, 7, 21)	1	0	-1	
(30, 17, 4, 4)	5	2	-3	
(12, 12)	12	9	-3	
(7, 8, 30)	37	25	-12	
(18, 18, 0, 30)	4	17	13	
(12, 10, 30, 22)	0	1	1	
(9, 30, 17, 0)	1	1	0	
(25, 7, 30, 19)	1	0	-1	
(30, 18, 1)	765	119	-646	
(21, 21, 19, 30)	2	3	1	
(6, 21, 30, 7)	1	3	2	
(18, 0, 23)	0	1	1	
(13, 17, 30, 0)	3	5	2	
(12, 30, 12, 19)	1	1	0	
(30, 21, 30, 25)	1624	1620	-4	
(17, 17, 30, 5)	4	5	1	
(25, 30, 18, 17)	0	1	1	
(30, 13, 30, 23)	10	9	-1	
(0, 15, 21)	5	1	-4	
(24, 30, 14, 21)	0	1	1	
(18, 21, 1)	2	0	-2	
(7, 17, 18, 7)	0	1	1	
(10, 6, 30, 25)	1	0	-1	
(30, 18, 0, 11)	0	1	1	
(0, 7, 28, 21)	0	1	1	
(3, 21, 21, 17)	1	3	2	
(0, 27, 30, 17)	1	4	3	
(4, 30, 28, 7)	1	0	-1	
(15, 21, 12)	3	1	-2	
(10, 30, 1, 19)	1	0	-1	
(27, 30, 12, 4)	1	0	-1	
(21, 30, 4)	4107	3728	-379	
(30, 9, 2)	2	3	1	
(1, 6, 30, 17)	3	1	-2	
(19, 12, 0, 30)	1	0	-1	
(22, 30, 26, 21)	0	1	1	
(12, 6, 30, 25)	1	1	0	
(30, 26, 30)	1330	1450	120	
(2, 19, 30, 17)	2	7	5	
(18, 30, 3, 12)	4	9	5	
(23, 30, 21, 30)	199	210	11	
(19, 30, 8, 21)	0	2	2	
(5, 30, 0, 15)	0	1	1	
(4, 30, 7)	615	665	50	
(22, 12, 30, 21)	2	2	0	
(2, 5, 30)	3	1	-2	
(4, 30, 18, 10)	9	1	-8	
(3, 6, 30, 17)	1	0	-1	
(30, 1, 20)	3	4	1	
(18, 22, 30, 0)	1	0	-1	
(17, 21, 25, 30)	0	1	1	
(20, 21, 18)	0	1	1	
(25, 2)	8	9	1	
(12, 1, 4, 21)	3	0	-3	
(0, 9, 30, 22)	0	1	1	
(19, 30, 1, 5)	1	0	-1	
(2, 4, 17, 30)	1	0	-1	
(6, 7, 3, 30)	0	1	1	
(6, 2, 21, 27)	1	0	-1	
(0, 17, 30, 24)	2	1	-1	
(4, 12, 4, 30)	1	0	-1	
(4, 22, 17, 30)	0	2	2	
(17, 12, 1, 30)	3	0	-3	
(4, 30, 21, 4)	16	6	-10	
(18, 0, 14)	1	6	5	
(23, 30, 7, 30)	11	20	9	
(25, 30, 24, 30)	16	29	13	
(0, 22, 30, 7)	2	12	10	
(5, 21, 5)	0	1	1	
(3, 11, 11)	1	0	-1	
(18, 21, 30)	31	39	8	
(30, 0, 21, 4)	1	1	0	
(30, 12, 7, 17)	6	2	-4	
(21, 21, 30, 22)	5	13	8	
(5, 12, 25, 30)	3	0	-3	
(27, 21, 25, 30)	1	1	0	
(28, 30, 24, 12)	1	0	-1	
(10, 3, 30, 10)	3	0	-3	
(30, 3, 30, 21)	5686	5149	-537	
(3, 18, 30, 12)	3	6	3	
(10, 2, 30)	2	0	-2	
(4, 0)	38	157	119	
(3, 10, 30, 18)	1	0	-1	
(0, 21, 18, 0)	0	1	1	
(25, 30, 14, 30)	9	13	4	
(0, 21, 30, 21)	50	52	2	
(1, 30, 2, 30)	112	18	-94	
(24, 21, 30, 27)	1	1	0	
(7, 12, 7, 21)	0	1	1	
(7, 30, 26, 21)	1	0	-1	
(28, 4, 21)	2	5	3	
(3, 12, 18)	17	8	-9	
(10, 30, 0, 4)	5	3	-2	
(16, 3, 30, 21)	1	0	-1	
(18, 26, 5, 30)	0	1	1	
(12, 16, 30, 3)	0	1	1	
(3, 27, 6)	1	1	0	
(3, 17, 5, 30)	5	6	1	
(14, 3, 30, 18)	2	0	-2	
(21, 22, 3)	0	1	1	
(21, 7, 30, 17)	10	15	5	
(24, 30, 3, 12)	0	1	1	
(30, 26, 17, 12)	1	0	-1	
(5, 0, 30, 0)	0	1	1	
(7, 8, 8)	2	1	-1	
(0, 21, 12, 1)	2	0	-2	
(30, 18, 1, 7)	1	0	-1	
(18, 19, 30, 3)	1	0	-1	
(30, 5, 30, 20)	2	4	2	
(18, 0, 1)	2	0	-2	
(28, 30, 21, 0)	0	1	1	
(5, 21, 12)	7	2	-5	
(23, 16, 30, 8)	0	2	2	
(18, 30, 9, 3)	1	1	0	
(4, 21, 30, 1)	51	13	-38	
(0, 3, 30, 14)	1	0	-1	
(18, 1, 2, 2)	1	0	-1	
(3, 17, 19, 30)	3	4	1	
(5, 30, 6, 6)	0	1	1	
(21, 30, 25, 23)	1	0	-1	
(1, 8, 30, 8)	3	0	-3	
(4, 18, 30, 14)	0	1	1	
(8, 18, 30, 11)	0	1	1	
(14, 10)	5	4	-1	
(20, 30, 21, 12)	1	0	-1	
(30, 17, 21, 19)	1	1	0	
(4, 4, 19, 30)	6	0	-6	
(25, 30, 25, 17)	41	23	-18	
(10, 8, 4, 1)	1	0	-1	
(2, 30, 2, 19)	1	4	3	
(1, 3, 30, 11)	3	2	-1	
(18, 30, 4, 30)	463	528	65	
(21, 3, 30, 20)	0	1	1	
(8, 4, 21)	19	10	-9	
(27, 18, 8)	0	1	1	
(10, 17, 30, 4)	8	3	-5	
(13, 21, 30, 2)	3	4	1	
(30, 17, 30, 11)	208	226	18	
(30, 28, 12, 30)	1	2	1	
(4, 0, 4, 21)	0	1	1	
(7, 18, 30, 19)	0	1	1	
(8, 17, 7)	0	1	1	
(10, 9, 30, 18)	0	1	1	
(12, 21, 1, 21)	13	1	-12	
(30, 9, 30, 17)	69	101	32	
(3, 12, 11)	0	1	1	
(21, 21, 12, 0)	1	0	-1	
(30, 3, 27, 12)	0	2	2	
(30, 26, 30, 8)	20	12	-8	
(25, 11, 4)	1	0	-1	
(23, 30, 17, 25)	0	1	1	
(7, 21, 30, 24)	1	0	-1	
(3, 27, 17)	5	3	-2	
(17, 30, 4, 25)	1	0	-1	
(2, 30, 17, 17)	7	6	-1	
(4, 4, 1, 30)	1	0	-1	
(11, 21, 7)	0	2	2	
(1, 1, 1)	55	1	-54	
(30, 5, 17, 0)	2	1	-1	
(21, 1, 7)	1	0	-1	
(30, 17, 27, 30)	7	9	2	
(18, 30, 18, 30)	180	332	152	
(30, 1, 10)	6	3	-3	
(20, 21, 4)	1	0	-1	
(7, 30, 18, 3)	0	1	1	
(30, 4, 12, 4)	1	0	-1	
(21, 1, 1, 30)	0	1	1	
(17, 25, 3, 30)	7	9	2	
(20, 25)	0	1	1	
(6, 28)	0	1	1	
(19, 0, 4, 30)	1	4	3	
(21, 2, 30, 18)	3	3	0	
(3, 4, 17)	4	0	-4	
(21, 26, 30, 12)	1	0	-1	
(9, 19, 30, 2)	1	0	-1	
(22, 22, 10)	1	0	-1	
(4, 1, 4, 17)	3	0	-3	
(21, 27, 18)	3	1	-2	
(21, 13, 30, 21)	9	4	-5	
(30, 12, 24)	5	0	-5	
(18, 30, 1, 26)	1	0	-1	
(22, 3, 26)	0	1	1	
(8, 12)	25	7	-18	
(30, 0, 17, 21)	2	1	-1	
(30, 25, 12)	13	18	5	
(3, 27, 8, 4)	0	1	1	
(2, 30, 19, 18)	1	1	0	
(3, 21, 21, 12)	0	2	2	
(25, 30, 9, 12)	1	0	-1	
(25, 19, 17)	0	1	1	
(21, 27, 2, 30)	1	1	0	
(21, 1, 19, 30)	1	0	-1	
(15, 30, 6, 3)	0	1	1	
(11, 4, 30, 27)	1	5	4	
(22, 30, 1, 18)	1	0	-1	
(7, 19, 30, 1)	3	0	-3	
(18, 30, 17, 13)	0	1	1	
(30, 18, 7, 14)	0	1	1	
(17, 13, 30)	67	67	0	
(4, 24, 24, 30)	0	1	1	
(16, 14, 22)	1	0	-1	
(4, 1, 4, 4)	1	0	-1	
(27, 18, 1)	1	0	-1	
(30, 27, 27, 27)	3	6	3	
(0, 10, 30, 19)	0	1	1	
(12, 7)	162	112	-50	
(4, 4, 30, 6)	1	0	-1	
(23, 30, 13, 17)	1	2	1	
(21, 14, 30, 23)	1	0	-1	
(15, 30, 4, 21)	9	5	-4	
(28, 4, 30, 12)	0	1	1	
(0, 10, 18, 30)	0	1	1	
(22, 21, 27, 30)	0	1	1	
(6, 30, 4, 17)	4	7	3	
(12, 3, 2)	2	0	-2	
(30, 0, 3, 1)	2	0	-2	
(30, 4, 1, 8)	1	0	-1	
(13, 30, 21, 5)	1	0	-1	
(2, 30, 1, 2)	4	0	-4	
(18, 30, 3, 23)	1	0	-1	
(18, 1, 8, 30)	1	0	-1	
(22, 9, 30, 19)	0	1	1	
(10, 7, 7)	0	1	1	
(11, 21, 30)	60	112	52	
(11, 30, 15, 21)	1	0	-1	
(10, 7, 30, 24)	1	0	-1	
(0, 2, 0)	7	13	6	
(17, 11, 30, 7)	2	2	0	
(22, 17, 30, 9)	0	2	2	
(26, 17, 30, 12)	0	3	3	
(12, 17, 0, 3)	2	1	-1	
(30, 18, 21, 14)	0	1	1	
(19, 4, 30, 22)	0	1	1	
(5, 30, 21, 25)	5	3	-2	
(10, 30, 3, 11)	0	1	1	
(30, 0, 30, 12)	162	234	72	
(13, 30, 14, 22)	1	0	-1	
(4, 1, 2)	3	1	-2	
(15, 11, 30, 12)	1	0	-1	
(9, 3, 26, 21)	0	1	1	
(21, 4, 30, 7)	3	2	-1	
(5, 21, 30)	319	259	-60	
(20, 30, 10, 30)	3	2	-1	
(18, 30, 17, 7)	3	5	2	
(4, 22, 22)	2	4	2	
(30, 12, 19)	12	5	-7	
(12, 7, 30, 24)	1	0	-1	
(13, 30, 23, 4)	0	1	1	
(13, 30, 5)	23	20	-3	
(21, 30, 17, 19)	4	9	5	
(30, 25, 5)	26	23	-3	
(25, 30, 5, 2)	1	0	-1	
(3, 2, 2, 17)	1	0	-1	
(25, 30, 17, 21)	6	12	6	
(10, 30, 17, 11)	0	1	1	
(30, 0, 8, 8)	1	0	-1	
(22, 21, 30, 26)	1	0	-1	
(18, 30, 12, 18)	9	11	2	
(14, 0, 30, 23)	0	1	1	
(30, 18, 11, 8)	0	1	1	
(22, 5)	2	0	-2	
(25, 30, 2, 12)	0	1	1	
(22, 30, 27)	27	51	24	
(30, 23, 21, 12)	2	0	-2	
(20, 30, 4, 30)	8	1	-7	
(21, 30, 26, 8)	0	1	1	
(8, 17, 25)	1	0	-1	
(30, 18, 30, 27)	53	84	31	
(30, 3, 7, 30)	14	13	-1	
(7, 5, 30)	15	18	3	
(30, 10, 30, 21)	352	413	61	
(30, 24, 3, 21)	0	1	1	
(30, 18, 18, 6)	1	1	0	
(21, 19, 17, 30)	1	0	-1	
(7, 5, 30, 5)	1	1	0	
(0, 25, 21, 12)	0	1	1	
(21, 30, 19, 22)	0	1	1	
(13, 30, 13, 30)	17	15	-2	
(4, 22, 30, 0)	1	6	5	
(10, 24)	2	5	3	
(5, 30, 4, 24)	4	1	-3	
(11, 21, 21)	3	2	-1	
(30, 1, 27, 3)	2	0	-2	
(0, 4, 30, 19)	12	31	19	
(15, 30, 5, 10)	1	0	-1	
(3, 30, 12, 2)	2	1	-1	
(3, 30, 14, 0)	6	4	-2	
(18, 30, 14, 17)	0	1	1	
(3, 14, 30, 11)	0	2	2	
(10, 30, 7, 21)	1	6	5	
(30, 0, 2, 18)	1	0	-1	
(2, 30, 0, 21)	11	16	5	
(21, 17, 25, 1)	1	0	-1	
(28, 30, 13, 17)	0	1	1	
(10, 21, 30, 14)	0	1	1	
(30, 27, 17, 4)	1	0	-1	
(14, 4, 30, 18)	1	4	3	
(17, 25, 30, 1)	2	0	-2	
(11, 30, 0, 24)	1	0	-1	
(1, 30, 19)	116	27	-89	
(21, 27, 0)	3	7	4	
(30, 12, 10)	12	19	7	
(17, 4, 22, 21)	1	0	-1	
(13, 30, 27, 30)	11	4	-7	
(2, 12, 17)	1	1	0	
(5, 30, 18, 4)	2	0	-2	
(30, 14, 30, 16)	1	2	1	
(21, 0, 14, 30)	1	0	-1	
(17, 2, 21, 30)	9	2	-7	
(30, 25, 18)	31	35	4	
(8, 30, 4, 21)	14	13	-1	
(30, 17, 0, 4)	25	71	46	
(19, 21, 30, 5)	6	5	-1	
(30, 3, 5, 25)	1	0	-1	
(10, 30, 21, 25)	2	0	-2	
(12, 17, 30, 2)	6	6	0	
(3, 30, 12, 1)	16	16	0	
(8, 7, 30, 23)	0	2	2	
(12, 26, 30, 1)	0	1	1	
(12, 27)	8	8	0	
(30, 15, 21, 21)	1	2	1	
(22, 30, 2)	35	47	12	
(17, 11, 11, 30)	1	0	-1	
(30, 4, 16)	9	6	-3	
(0, 22, 0, 30)	6	9	3	
(15, 30, 0, 6)	1	0	-1	
(30, 17, 4)	142	113	-29	
(21, 25, 30, 5)	1	2	1	
(5, 15, 21)	2	0	-2	
(2, 12, 30, 4)	3	2	-1	
(0, 21, 6)	1	2	1	
(17, 0, 1)	3	2	-1	
(18, 13, 30, 13)	2	1	-1	
(8, 12, 21, 30)	2	0	-2	
(25, 30, 3, 3)	0	1	1	
(15, 1, 30, 21)	2	1	-1	
(0, 2, 18)	1	1	0	
(11, 30, 3, 4)	1	0	-1	
(30, 24, 30, 19)	21	22	1	
(17, 21, 6)	1	0	-1	
(18, 6, 30, 6)	1	3	2	
(3, 30, 10, 30)	287	202	-85	
(21, 1, 21, 12)	0	1	1	
(7, 23, 30, 3)	2	5	3	
(2, 17, 25, 30)	1	0	-1	
(0, 25, 30, 12)	1	0	-1	
(12, 30, 0, 8)	2	0	-2	
(3, 5, 30, 22)	0	1	1	
(21, 30, 12, 26)	8	11	3	
(24, 19, 17)	0	1	1	
(8, 17)	139	69	-70	
(1, 2, 30, 10)	3	0	-3	
(4, 24, 30, 12)	4	1	-3	
(25, 30, 4, 28)	0	1	1	
(1, 30, 4)	749	101	-648	
(18, 7, 24)	0	1	1	
(4, 17, 24, 30)	0	2	2	
(5, 14, 30, 21)	1	0	-1	
(16, 3, 12, 30)	0	1	1	
(2, 30, 11, 3)	3	2	-1	
(0, 6, 30, 27)	1	0	-1	
(17, 4, 30, 12)	1	1	0	
(26, 17)	7	16	9	
(14, 18, 30, 18)	2	0	-2	
(30, 27, 30, 9)	20	35	15	
(3, 30, 28, 30)	64	125	61	
(12, 28)	1	1	0	
(26, 21, 30, 6)	1	0	-1	
(11, 4, 18, 17)	0	1	1	
(0, 30, 21, 0)	7	13	6	
(1, 1, 27, 30)	1	0	-1	
(30, 12, 13, 4)	1	0	-1	
(30, 27, 2, 30)	8	8	0	
(3, 30, 8, 3)	5	1	-4	
(3, 2, 30, 22)	0	1	1	
(6, 30, 1, 3)	4	0	-4	
(18, 7, 30, 20)	1	0	-1	
(15, 30, 3, 30)	118	94	-24	
(27, 17, 1)	1	0	-1	
(3, 17, 30, 3)	63	71	8	
(22, 30, 9)	6	31	25	
(15, 15, 30, 22)	0	1	1	
(30, 4, 27)	26	32	6	
(8, 30, 7, 8)	4	3	-1	
(18, 0, 30, 19)	13	22	9	
(30, 4)	26580	23182	-3398	
(7, 5, 12)	0	1	1	
(0, 18, 30, 22)	2	0	-2	
(30, 17, 13)	69	61	-8	
(1, 4, 30, 17)	62	3	-59	
(21, 12, 30, 12)	30	21	-9	
(12, 0, 30, 9)	1	1	0	
(30, 27, 16, 30)	1	0	-1	
(4, 17, 0)	8	23	15	
(15, 15, 21)	2	0	-2	
(9, 21, 30, 12)	5	6	1	
(0, 30, 19, 1)	1	0	-1	
(17, 22, 30, 25)	1	1	0	
(17, 21, 25)	0	2	2	
(2, 17, 30, 17)	7	7	0	
(17, 5, 21, 30)	5	8	3	
(26, 30, 12, 25)	4	2	-2	
(6, 30, 3, 0)	0	1	1	
(18, 11)	155	147	-8	
(21, 3, 7, 30)	1	0	-1	
(14, 17, 0)	0	2	2	
(21, 11, 11)	0	1	1	
(30, 0, 10, 30)	8	11	3	
(26, 21, 14)	2	0	-2	
(2, 30, 8, 17)	2	2	0	
(24, 19, 30)	1	0	-1	
(21, 18, 18, 30)	2	3	1	
(11, 30, 8, 4)	2	2	0	
(1, 30, 13)	14	4	-10	
(19, 17, 21, 30)	1	1	0	
(10, 1, 3)	0	1	1	
(18, 7, 17)	14	19	5	
(30, 6, 30, 19)	40	47	7	
(11, 30, 4, 17)	5	2	-3	
(0, 11, 30, 18)	0	1	1	
(0, 22, 18, 30)	0	1	1	
(30, 25, 21, 2)	1	0	-1	
(30, 13, 21, 25)	1	0	-1	
(3, 30, 11, 17)	4	2	-2	
(7, 9, 30, 3)	1	4	3	
(23, 16, 22, 23)	0	1	1	
(6, 30, 6, 21)	1	5	4	
(21, 30, 13, 21)	19	25	6	
(8, 30, 28, 17)	0	1	1	
(30, 21, 7, 19)	2	4	2	
(21, 30, 17, 8)	17	7	-10	
(6, 30, 17, 20)	1	0	-1	
(8, 30, 8, 4)	13	6	-7	
(16, 1, 30, 16)	1	0	-1	
(0, 30, 17, 2)	1	2	1	
(25, 8, 8)	3	0	-3	
(3, 30, 4, 5)	0	1	1	
(21, 5, 17, 8)	1	0	-1	
(13, 10, 30, 3)	1	0	-1	
(10, 30, 17, 22)	1	0	-1	
(14, 23, 30, 21)	0	1	1	
(12, 30, 7, 17)	3	2	-1	
(21, 18, 0, 30)	19	62	43	
(2, 3, 3)	0	1	1	
(26, 30, 18, 7)	1	0	-1	
(30, 23, 25, 30)	11	2	-9	
(14, 0, 30, 12)	1	1	0	
(24, 10)	3	5	2	
(30, 4, 2)	25	24	-1	
(30, 1, 30, 21)	903	309	-594	
(30, 23, 21, 17)	2	1	-1	
(10, 18, 30, 3)	0	1	1	
(30, 18, 30, 4)	540	631	91	
(30, 17, 26)	6	12	6	
(6, 30, 0, 28)	0	1	1	
(10, 10, 30, 21)	2	6	4	
(13, 5, 17)	0	2	2	
(30, 10, 30, 14)	4	6	2	
(18, 3, 17, 0)	1	0	-1	
(30, 25, 3, 27)	2	0	-2	
(0, 23, 30, 21)	4	2	-2	
(12, 21, 30, 0)	15	10	-5	
(27, 30, 4, 0)	0	1	1	
(4, 3, 30, 18)	0	1	1	
(4, 21, 1, 30)	2	2	0	
(11, 15, 30, 21)	1	0	-1	
(30, 10, 21, 12)	1	3	2	
(17, 0, 19, 2)	0	2	2	
(21, 30, 4, 22)	6	8	2	
(30, 28, 8)	1	0	-1	
(17, 1, 6, 30)	1	0	-1	
(21, 30, 8, 3)	3	3	0	
(8, 8, 30, 18)	4	2	-2	
(25, 18, 30, 11)	1	0	-1	
(3, 12)	376	322	-54	
(12, 17, 0, 30)	6	2	-4	
(27, 11, 21, 30)	0	2	2	
(3, 30, 27, 12)	1	1	0	
(21, 5, 30, 17)	14	16	2	
(9, 3, 30, 24)	0	1	1	
(14, 25, 30, 4)	1	0	-1	
(18, 7, 10)	1	0	-1	
(1, 21, 30, 10)	6	1	-5	
